DATE,GAME_ID,SEASON_TYPE,SEASON,PTS_total_home,AST_total_home,GAMES_PLAYED_home,REB_total_home,PTS_total_away,AST_total_away,GAMES_PLAYED_away,REB_total_away,FG3_PCT_total_home,PPG_total_home,FG_PCT_total_home,RPG_total_home,FT_PCT_total_home,APG_total_home,FG3_PCT_total_away,PPG_total_away,FG_PCT_total_away,RPG_total_away,FT_PCT_total_away,APG_total_away,TEAM_ID_away,TEAM_ID_home,W_PCT_away,W_PCT_home
2003-10-05,10300001,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612742.0,1610612762.0,0.0,0.0
2003-10-06,10300002,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612749.0,1610612763.0,0.0,0.0
2003-10-07,10300009,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612746.0,1610612758.0,0.0,0.0
2003-10-07,10300005,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612745.0,1610612757.0,0.0,0.0
2003-10-07,10300007,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612755.0,1610612748.0,0.0,0.0
2003-10-07,10300008,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612751.0,1610612756.0,0.0,0.0
2003-10-07,10300004,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612753.0,1610612742.0,0.0,0.0
2003-10-07,10300003,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612739.0,1610612765.0,0.0,0.0
2003-10-07,10300010,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612752.0,1610612764.0,0.0,0.0
2003-10-07,10300006,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612744.0,1610612747.0,0.0,0.0
2003-10-08,10300014,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612765.0,1610612738.0,0.0,0.0
2003-10-08,10300013,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610612763.0,1610612759.0,0.0,0.0
